 
****************************************
Report : timing
        -path end
        -delay max
        -max_paths 100
Design : control
Version: X-2005.09
Date   : Mon Mar 16 21:15:35 2015
****************************************

Operating Conditions: nom_pvt   Library: ece451_cells
Wire Load Model Mode: top

Endpoint                         Path Delay     Path Required     Slack
------------------------------------------------------------------------
notphi1_1 (out)                     0.27 f            0.20        -0.07
phi1_1 (out)                        0.00 f            0.20         0.20
phi1_2 (out)                        0.00 f            0.20         0.20
phi1_3 (out)                        0.00 f            0.20         0.20
phi2_1 (out)                        0.00 f            0.20         0.20
WriteEn[0] (out)                    0.86 f            2.05         1.19
WriteEn[1] (out)                    0.86 f            2.05         1.19
WriteEn[2] (out)                    0.86 f            2.05         1.19
WriteEn[3] (out)                    0.86 r            2.05         1.19
shl (out)                           0.73 r            3.55         2.82
shr (out)                           0.73 r            3.55         2.82
notshl (out)                        0.59 f            3.55         2.96
notshr (out)                        0.59 f            3.55         2.96
N[3] (out)                          2.87 f            6.05         3.18
N[2] (out)                          2.32 r            6.05         3.73
N[0] (out)                          1.71 f            6.05         4.34
N[1] (out)                          1.37 r            6.05         4.68
M[1] (out)                          3.13 r            9.55         6.42
DSelect (out)                       0.73 r            7.35         6.62
zeroSelect (out)                    0.73 r            7.35         6.62
L[1] (out)                          2.87 f            9.55         6.68
L[2] (out)                          2.87 f            9.55         6.68
M[2] (out)                          2.80 r            9.55         6.75
ASelect (out)                       0.59 f            7.35         6.76
BSelect (out)                       0.59 f            7.35         6.76
M[3] (out)                          2.25 f            9.55         7.30
M[0] (out)                          2.09 f            9.55         7.46
L[3] (out)                          1.37 r            9.55         8.18
ARdEn[0] (out)                      0.86 f            9.55         8.69
ARdEn[1] (out)                      0.86 f            9.55         8.69
ARdEn[2] (out)                      0.86 f            9.55         8.69
BRdEn[0] (out)                      0.86 f            9.55         8.69
BRdEn[1] (out)                      0.86 f            9.55         8.69
BRdEn[2] (out)                      0.86 f            9.55         8.69
ARdEn[3] (out)                      0.86 r            9.55         8.69
BRdEn[3] (out)                      0.86 r            9.55         8.69

